Index,Hogwarts House,Proba,Second House,Second Proba
0,Ravenclaw,0.9365855300530456,Slytherin,0.5055805016668969
1,Slytherin,0.973842823602469,Hufflepuff,0.3743329243783439
2,Ravenclaw,0.980568391981334,Slytherin,0.3016497902035081
3,Gryffindor,0.9910673228504124,Hufflepuff,0.49187442708138124
4,Gryffindor,0.9863947229673597,Slytherin,0.4619024752057649
5,Slytherin,0.972438963007323,Ravenclaw,0.31920932013576936
6,Gryffindor,0.9965459371760694,Hufflepuff,0.305068548332653
7,Hufflepuff,0.7722131514008959,Gryffindor,0.5438717553721908
8,Gryffindor,0.9919392281037754,Hufflepuff,0.29576166030843437
9,Hufflepuff,0.9131199376802718,Slytherin,0.4266426950714598
10,Hufflepuff,0.8506251731940667,Gryffindor,0.4663306948580621
11,Hufflepuff,0.845942235278858,Slytherin,0.4382790255207438
12,Hufflepuff,0.9253896107797867,Gryffindor,0.32534837090194973
13,Slytherin,0.9737268557691096,Hufflepuff,0.34714705690553954
14,Ravenclaw,0.9533490718372167,Hufflepuff,0.33845703309246333
15,Ravenclaw,0.9776002113479186,Slytherin,0.39807492681720275
16,Gryffindor,0.9760480786498764,Hufflepuff,0.35752260688202236
17,Gryffindor,0.9921560006346496,Hufflepuff,0.3383954003550192
18,Ravenclaw,0.9802552728330267,Hufflepuff,0.41199591620391074
19,Hufflepuff,0.8770503936960862,Slytherin,0.2958311910911161
20,Gryffindor,0.9886548818651743,Hufflepuff,0.4194689352973573
21,Gryffindor,0.945789953154789,Hufflepuff,0.679006275988692
22,Ravenclaw,0.9783349915440817,Hufflepuff,0.27789712947024486
23,Hufflepuff,0.9052512689181709,Gryffindor,0.42358386964844363
24,Ravenclaw,0.9872968959021399,Slytherin,0.3543344276823848
25,Hufflepuff,0.8680566210265102,Slytherin,0.3982503138176318
26,Slytherin,0.9678203507397625,Gryffindor,0.3702420207318274
27,Hufflepuff,0.8490371518439003,Gryffindor,0.5812499679708271
28,Gryffindor,0.9667550021935059,Ravenclaw,0.3914859465339305
29,Hufflepuff,0.9475276217836825,Slytherin,0.3836503487918669
30,Hufflepuff,0.9426664784888042,Slytherin,0.25174469416504885
31,Gryffindor,0.9895592893200562,Hufflepuff,0.2881727092732372
32,Ravenclaw,0.980670467402029,Slytherin,0.28878466101092626
33,Hufflepuff,0.9098451648082175,Slytherin,0.5190307456516705
34,Ravenclaw,0.973957535712788,Slytherin,0.6315386640145658
35,Ravenclaw,0.9560114436960832,Gryffindor,0.33269665224451267
36,Hufflepuff,0.8902475007296256,Gryffindor,0.43006395288558563
